Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Business Intelligence Analyst,$74K - $131K (Glassdoor est.),"STERIS is a leading provider of infection prevention and procedural products and services, focused primarily on the critical markets of healthcare, pharmaceutical and research and medical devices. Our mission is to help our Customers create a healthier and safer world by providing innovative healthcare and life science product and service solutions around the globe. We have 12,000 employees worldwide, with over 3,000 in Customer-facing sales and service roles. Founded as Innovative Medical Technologies in Ohio in 1985, the company was renamed STERIS in 1987. Many of the businesses that have been acquired and integrated into STERIS have much longer operating histories, notably the American Sterilizer Company founded in 1894. The STERIS Vision is inspired by our Customers' efforts to create a healthier and safer world, and guided by our legacy of leadership and innovation; we strive to be a Great Company. To STERIS, this means we will make a difference by providing world-class product and service solutions for our Customers, safe and rewarding work for our People, and superior returns for our Shareholders.

Position Summary

The Business Intelligence Analyst II responsible for developing and supporting Business Intelligence solutions as part of the Enterprise Business Intelligence team. Responsible for evaluating and developing performance review processes. Works in conjunction with management to define business objectives, develop KPIs to manage objective outcomes. Provides recommendations to senior management that leverage outcome of empirical data analysis.

Duties

Duties - cont'd

Education Degree

Bachelor's Degree
Required Experience

Minimum Bachelor's Degree required with 3-5 years' applicable experience
Ability to design, analyze, translate and present complex data into management information. (3+ years or related experience)
Experience in developing reports, dashboards, and data visualization techniques (3+ years or related experience)
Translating and documenting of business needs to technical requirements (3+ years or related experience)
Developing and implementing education curriculum around reporting definitions and capabilities (1+ years or related experience)
Creates data validation review processes and test plans (1+ years or related experience
Demonstrated experience in BI technologies
Requires strong analytical, conceptual, problem-solving skills
Must be able to prioritize in a fast-paced, multi-task environment
Must be able to perform duties with moderate to low supervision
#IND123",3.7,STERIS,"Birmingham, AL",-1,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,-1
Chief Scientist,$74K - $131K (Glassdoor est.),"We are seeking a highly driven scientist with broad interest in protein kinases, to oversee, organize and coordinate the activities of multiple researchers in a dynamic, comprehensive, inter-disciplinary initiative at the Department of Structural Biology, St. Jude Children's Research Hospital.

The Blue Sky Initiative ""Seeing the Invisible in Protein Kinases"" is supported by $35 million in institutional funding (more information in the St. Jude Strategic Plan 2022–2027, pp 62–63).

The project will extend the ultra-high field NMR spectroscopy and biochemistry approaches developed recently by the Kalodimos lab (Science 370, eabc2754, 2020) to study the human kinome. This is a large-scale project that aims to detect and structurally characterize the distinct conformational states populated by kinases, and to dissect the mechanisms of allosteric regulation and those underpinning oncogenic and drug-resistance mutations. This strategy will be integrated with and complemented by data-science and computational approaches developed by the Babu lab (Nature 587, 650, 2020), to systematically characterize the conformational landscape of the human kinome.",4.5,St. Jude Children's Research Hospital,"Memphis, TN",-1,5001 to 10000 Employees,5001 to 10000 Employees,5001 to 10000 Employees,5001 to 10000 Employees,5001 to 10000 Employees,5001 to 10000 Employees,-1
"Principal/Senior Scientist, Medicinal Chemistry",$74K - $131K (Glassdoor est.),"Silverback Therapeutics, a Seattle-based biotechnology company, is seeking a highly motivated senior medicinal chemist to join our Chemistry team. Applicants should be comfortable in a fast-paced and collaborative environment. Primary responsibilities include the coordination and implementation of the design, synthesis, purification, and characterization of small molecules. This role would include leading chemistry efforts at CROs as well as driving chemistry efforts internally. The successful candidate will be skilled in the interpretation of data to help inform their strategy and decision making and is expected to function with a high degree of independence while working collaboratively within a multidisciplinary team dedicated to the development of new therapies.
Key Responsibilities:
Responsible for conducting scientific research for the discovery of novel drug candidates.",3.1,"Silverback Therapeutics, Inc.","Seattle, WA",-1,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,-1
Division Director Data Science,$74K - $131K (Glassdoor est.),"Rainy Day Recruiter has a Top Client in need of a Divisional Data Scientist
Healthcare Experience Required.
Job Responsibilities:
The role of the data scientist is to use mathematics, programming, big data management and visualization to discover opportunities and insights arising from data systems.
This role is firmly customer facing, with an expectation of constant contact, communication and iteration with both clinical and business customers to define questions, explore solutions and present results. As such the data scientist must be comfortable and capable of clearly communicating the nature and results of complex analytics to non-technical users in written, spoken and visual means.
Ensure a standardized and consistent approach relating to CDM participation and implementation in all phases of the data science life cycle.",-1,Rainy Day Recruiter,"Dallas, TX",-1,-1,-1,-1,-1,-1,-1,-1
Business Intelligence Analyst,$74K - $131K (Glassdoor est.),"The Analyst/ Accounting Specialist - Position will be a dedicated
person who will be in a cross functional support role to all areas of
accounting and works in support of Green Ridge Hospitality teams to
develop and support organization-wide data delivery and ongoing
process improvement. This position is responsible for end-to-end
report development including interaction with end users to gather
requirements, understanding report objectives, defining, designing,
and developing reports and documentation using the available tools and
delivering reports to end users. Must be able to retrieve data from
Toast, Toast Payroll and QuickBooks Online and use available tools to analyze the data andbuild reports and analyze and help execute budgetary goals.
The Analyst/ Accounting Specialist will promote the use of data
analytics and reporting to end users. The Analyst/ Accounting
Specialist will facilitate the review of requests for information and
help ensure the most effective development of new reporting tools and
reports.",4.0,The Turn House Restaurant,Maryland,-1,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,-1
Data Engineer,$74K - $131K (Glassdoor est.),"Northwest Farm Credit Services is in search of a Data Engineer to join our Data Management Department. This position will support our Headquarters team in Spokane, Washington but can work out of any branch locations in our chartered territory. As a member-owned financial cooperative, we help business owners in agriculture, forestry and fisheries secure the financing they need to operate and grow, and the crop insurance they need to protect their livelihoods. Our customers are primarily located in Montana, Idaho, Oregon, Washington and Alaska. Northwest FCS is a five-time recipient of the Gallup Exceptional Workplace Award, and the top scoring large company in the Best Place to Work-Inland Northwest competition five years in a row.
This full-time position reports to the Manager-Data Administration and works to implement database applications, database warehouses and cloud solutions in support of organizational data initiatives.",4.6,Northwest Farm Credit Services,"Spokane, WA",-1,501 to 1000 Employees,501 to 1000 Employees,501 to 1000 Employees,501 to 1000 Employees,501 to 1000 Employees,501 to 1000 Employees,-1
Experienced Data Engineer,$74K - $131K (Glassdoor est.),"At Liberty Mutual, our purpose is to help people embrace today and confidently pursue tomorrow. That's why we provide an environment focused on openness, inclusion, trust and respect. Here, you'll discover our expansive range of roles, and a workplace where we aim to help turn your passion into a rewarding profession. We value your hard work, integrity and commitment to make things better, and we put people first by offering you benefits that support your life and well-being. To learn more, please visit https://www.libertymutualgroup.com/about-lm/careers/benefits
Liberty Mutual has proudly been recognized as a “Great Place to Work” by Great Place to Work® US for the past several years. We were also selected as one of the “100 Best Places to Work in IT” on IDG's Insider Pro and Computerworld's 2020 list. We have been named by Forbes as one of America's Best Employers for Women and one of America's Best Employers for New Graduates—as well as one of America's Best Employers for Diversity. To learn more about our commitment to diversity and inclusion please visit: https://jobs.libertymutualgroup.com/diversity-inclusion

17",3.8,Liberty Mutual Insurance,"Dover, NH",-1,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,-1
Adoptive Immunotherapy Scientist,$74K - $131K (Glassdoor est.),"The Geiger Lab in the Department of Pathology at St Jude Children’s Research Hospital is seeking an experienced and highly motivated Staff Scientist to join our efforts to develop improved treatments for hematologic malignancies through the study and application of adoptive immunotherapy.

The successful candidate will lead exciting and collaborative projects focused on understanding the molecular, cellular, and immunologic mechanisms influencing the efficacy of adoptive immunotherapies, including chimeric antigen receptor (CAR) T cells, against tumor targets. Qualified candidates will have a have a strong background in immunology and cell or molecular biology. Direct hands-on experience with cellular and molecular immunology techniques are required for this position. Competitive candidates will be proficient with multi-parameter flow cytometry, CRISPR/Cas9 gene editing, recombinant virus preparation and transduction, and molecular and biochemical approaches to characterize cellular responses. Prior experience with primary mouse or human T cells and in vivo tumor models is highly desired.",4.5,St. Jude Children's Research Hospital,"Memphis, TN",-1,5001 to 10000 Employees,5001 to 10000 Employees,5001 to 10000 Employees,5001 to 10000 Employees,5001 to 10000 Employees,5001 to 10000 Employees,-1
Senior Scientist: Assay Development Or Cell Culture Or Rec Ab Production,$74K - $131K (Glassdoor est.),"Senior Scientist: Assay Development Or Cell Culture Or Recombinant Antibody Production
Proteintech is an international biotechnology company that manufactures antibodies, ELISA kits and proteins for use in life science research. Proteintech makes of all its own products to the highest standards possible, with complete control over the whole manufacturing, validation and QC process. 60,000+ citations of Proteintech products demonstrates what matters most to the company: the success of its reagents in the hands of scientists, helping them make discoveries to change and explain the world around us. For more information, please visit www.ptglab.com.
We are seeking a skilled and experienced researcher to join a team focused on the expression and purification of human expressed proteins.
The successful candidate will be responsible for developing new proteins, antibodies and testing their activity. They will be responsible for application development and validation to test the function of the proteins and antibodies. Demonstrable experience with cell culture methods, transfections, scaleup of mammalian cell culture. Experience with growth and transfection of mammalian cells both small and large scale for protein production will be a significant asset. Knowledge of single use technologies is a plus. Strong scientific grounding in Cell Biology and cell therapy, protein chemistry and function, and assay development is required. Data analysis skills, the ability to prepare written reports, scientific communication, and the ability to work productively and collaboratively within a tight-knit team are key assets for this position. Ability to communicate in multiple languages very welcome. Other opportunities available in Europe and Asia.",3.2,Proteintech Group Inc.,"Rosemont, IL",-1,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,1 to 50 Employees,-1
Data Scientist,$74K - $131K (Glassdoor est.),"Data Scientist
At SalesPad, we know the importance of being data-driven. As a pillar of our Core Values, we use data to fuel and support our decision-making. We are seeking an experienced Data Scientist to deliver insight and extract meaning from our data, providing knowledge to the Team that we can use to build and improve our solutions.
A typical day of a Data Scientist would include:
Partnering with the Development and Product Teams to understand their goals and determine how data can be used to achieve those goals;
Understanding business problems and using mathematical frameworks to deliver machine learning models that can be used to solve those;",3.9,"SalesPad, LLC","Grand Rapids, MI",-1,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,-1
"Lead Data Scientist, Product Analytics",$72K - $133K (Glassdoor est.),"Lead Data Scientist, Product Analytics
Chicago, IL | United States | Remote
Internet & New Media | FinTech
$150,000 - $180,000 + Benefits + Equity
A leading, rapidly growing FinTech company is looking for an experienced Lead Data Scientist, Product Analytics to successfully leverage Machine Learning models for digital product development to meet business growth.
THE ROLE:
As Lead Data Scientist, Product Analytics, you will be the Product Data Science Lead for defining the data product roadmap and conducting advanced statistical analyses to enable a deeper understanding of both user behavior and key business drivers. You will be responsible for:",4.0,Harnham,Remote,-1,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,-1
Supply Chain Analytics Specialist/Data Scientist,$72K - $133K (Glassdoor est.),"Through its people and brands, CNH Industrial delivers power, technology and innovation to farmers, builders and drivers all around the world. Each of its brands, including Case IH, New Holland Agriculture, Case and New Holland Construction, FPT Industrial, Capital, and Aftermarket Solutions, is a major international force in its specific sector.

At New Holland Agriculture, the Supply Chain Analytics Specialist is responsible for the development of sales and operations plan, which drives key elements for New Holland brand financial and market share targets. In addition, the position is responsible for order management, forecast and supply chain process improvement, which has a direct impact on the day-to-day business process and relationship with New Holland dealers, suppliers and service providers. Liaising with information and communication system and New Holland Sales Organization, the Supply Chain Analytics Specialist ensures proper priority and delivery of prediction models, dashboards and process change based on continuous improvement.
Develop retail, wholesale, company and dealer inventory plans and production requirements for assigned plants/vendors by model and planning key aligned to region market share and financial targets, based on production planning and inventory control concepts acquired in graduate school Interface with marketing to ensure alignment with brand financial plan, product launch timelines, and order writing programs. Manage all aspects of dealer order life cycle using SAP, including manufacturing production allocation, meeting required delivery dates, order priorities within industrial constraints, order configuration changes, drive resolution of credit issues, etc. Manage development of Sales & Operations plan, and related production schedule to ensure mitigation of risks, and execution of wholesale objectives, volumetrically and financially. Design and implement sales performance analytics using data visualizations software, creating strategic plans with priorities by product, share and gross margin optimization. Create order cycle dashboards to proactively analyze forecast models at various levels and scenarios (operational, tactical and executive) identifying and proposing solutions on potential issues related to operational/financial plan. Design and implement machine learning prediction models using R, Python and Microsoft Azure software, focused on product mix and coverage, to make industry recommendations based on market intelligence. Managing data stored in relational databases on the central data lake of the organization, performing ETL processes to use this data for building various visualizations on Qlik Sense. Provide customer support to key stakeholders in order life cycle, including dealer, dealer sales support, New Holland sales and marketing.


Bachelor’s degree in Industrial Engineering or Supply Chain and Information Systems. MBA/Master’s degree highly preferred
Minimum of 2 years of experience in industrial engineering or supply chain and information systems, including forecasting models, data mining, analytics, and operations optimization with demonstrated experience in ""R"" and Python, including development, use of forecasting and prediction models.


Proven knowledge with Microsoft Office suite specifically Excel Solver and VBA.
Proficiency with “R” and Python for machine learning and forecast models.
Change management, customer advocacy, and enablement is at the forefront of your strategy and delivery.
Self-starter with a problem-solver mindset and proven track record performing well in a fast-paced dynamic environment with tight deadlines and changing priorities; ability to be flexible and resilient.
Demonstrated analytical skills and ability to develop customer and market insights.
Proven experience effectively delivering impactful projects in fast-moving environment with ability to influence at all levels and work effectively across functions and geographies.
Previous experience on Microsoft Azure, on machine learning projects

CNH Industrial is an equal opportunity employer. This company considers candidates regardless of race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status. Applicants can learn more about their rights by viewing the federal ""EEO is the Law"" poster and its supplement here .

CNH Industrial participates in E-Verify and will provide the federal government with your Form I-9 information to confirm that you are authorized to work in the U.S. You can view additional information here.

If you need reasonable accommodation with the application process, please call 1-800-889-4422 option 1 and then option 5, or contact us at narecruitingmailbox@cnhind.com.

Read about our company’s commitment to pay transparency by clicking this link: pay transparency notice .",3.7,CNH Industrial,"New Holland, PA",-1,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,-1
"Director, Clinical Data Science & Advanced Analytics",$72K - $133K (Glassdoor est.),"Job Summary
Otsuka is looking for an accomplished Data and Quantitative Scientist for the Clinical Data Science & Advanced Analytics group within the Clinical Analytics organization. The role will provide scientific expertise and will be accountable for delivering on strategic data science projects aligned with the broader R&D goals and objectives. The role will also actively engage with stakeholders across the R&D organization to prioritize and manage delivery of projects across all phases of development and all therapeutic areas. They should have demonstrated ability to synthesize information to develop recommendations, and influence organization on a recommended path. He/she will be reporting into the Head of CDS&AA within the Clinical Analytics organization.
Job Description",4.1,Otsuka Pharmaceuticals,"Princeton, NJ",-1,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,1001 to 5000 Employees,-1
Senior Data Scientist,$72K - $133K (Glassdoor est.),"Senior Data Scientist
Must be a US Citizen
Relocation Available
Salary Range: $120 - $140K
Iontra LLC
Denver, CO 80022
Research and Development Team
Reports to Head of Data Science and Analytics",-1,Iontra LLC,"Denver, CO",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$72K - $133K (Glassdoor est.),"Our mission is to increase healthcare accessibility and efficiency for all. As a Data Scientist at Luminostics, you will analyze longitudinal results from our fleet of diagnostic devices and develop algorithms and software to support the next generation of rapid diagnostic tests for diseases such as COVID19, Influenza, and common STIs. You will have opportunities to apply sophisticated analytical techniques and work with novel technologies. We work in a fast-paced, agile environment with colleagues from disciplines such as nanotechnology, manufacturing, software engineering, chemistry, and biology. We value accountability, creativity, and gratitude.
Responsibilities:
Collaborating with biochemistry researchers to accelerate research and operations
Collaborating with manufacturing engineers to reduce waste in assembly lines
Applying inferential statistics and simulation techniques to clinical data sets
Prototyping image and signal processing algorithms for rapid diagnostic tests
Planning and executing the collection and fusion of data from different sources Building analysis tools and data dashboards",-1,Luminostics,"Milpitas, CA",-1,-1,-1,-1,-1,-1,-1,-1
Downstream Biologics Process Development Scientist,$72K - $133K (Glassdoor est.),"Eurofins Scientific is an international life sciences company, providing a unique range of analytical testing services to clients across multiple industries, to make life and our environment safer, healthier and more sustainable. From the food you eat, to the water you drink, to the medicines you rely on, Eurofins works with the biggest companies in the world to ensure the products they supply are safe, their ingredients are authentic and labelling is accurate. Eurofins believes it is a global leader in food, environmental, pharmaceutical and cosmetics products testing and in agroscience CRO services. It is also one of the global independent market leaders in certain testing and laboratory services for genomics, discovery pharmacology, forensics, CDMO, advanced material sciences and in the support of clinical studies.
In over just 30 years, Eurofins has grown from one laboratory in Nantes, France to over 50,000 staff across a network of more than 900 independent companies in over 50 countries and operating more than 800 laboratories. Eurofins offers a portfolio of over 200,000 analytical methods to evaluate the safety, identity, composition, authenticity, origin, traceability and purity of biological substances and products, as well as providing innovative clinical diagnostic testing services, as one of the leading global emerging players in specialised clinical diagnostics testing.",3.4,Eurofins,"Kenilworth, NJ",-1,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,-1
Marketing Data Analyst II,$72K - $133K (Glassdoor est.),"Position Summary
The Marketing Analyst will work closely with the Marketing team to interpret business data needs and translate them into actionable recommendation and reporting, while also providing analytical feedback on the ongoing productivity of marketing initiatives. This position will collaborate cross-functionally to provide proactive business intelligence research and support. This position serves as the primary point-of-contact for all Customer Relationship Management (CRM) Database marketing initiatives.
Essential Job Functions include but are not limited to:
Empowers the marketing team members with actionable insights to drive the brand businesses, including targeting recommendations, website features, site improvements, campaign performance, and ROI; draws conclusions from key consumer and customer insights that can be leveraged to enable marketing innovation and help determine critical areas for improvement.",3.9,Heartland Bank and Trust Company,"Bloomington, IL",-1,501 to 1000 Employees,501 to 1000 Employees,501 to 1000 Employees,501 to 1000 Employees,501 to 1000 Employees,501 to 1000 Employees,-1
Data Engineer,$72K - $133K (Glassdoor est.),"What do incubators and Spectrum have in common? Well, they’re great for growth, and even better for stability. As an innovative software development and digital marketing company pioneering the field of artificial intelligence, we can offer our newest Data Engineer the best of both words – a high energy, forward-thinking start-up culture, inside of a well-established, profitable, and stable structure . if you’re interested in getting your hands dirty and inciting change into a larger organization with a vision to change the world uses data today, then please read on.
Responsibilities
• Design, build and maintain both new and existing data infrastructures using tools including (but not limited to) Microsoft SQL Server, Azure Tables, Azure Blobs, and Azure Cosmos • Determine the right database system for a provided data set • Drafting database/table schemas • Properly index tables when applicable to ensure query performance • Create data pipelines for transforming new datasets into consistent, reliable data systems that are usable across multiple platforms • Identify optimizations and improvements in existing data pipelines • Create solutions for data validation to ensure data integrity, accuracy, and consistency • Ensure data is readily available for analysis and development usage • Shifting existing big data pipelines • Come up with data validation solutions for both initial data imports as well as results • Audit the automation process to make sure there are no gaps, redundancies, or faults in the data pipeline that would cause damage to data integrity • If necessary, come up with entirely new solutions for these automation processes • Integrating new data sets • Identifying the right database systems/tools for the job, exploring new ones if seen fit • Involvement in drafting technical documentation • Database/Table Schemas • Pipeline mapping • Detailing information on import and update processes • Table Indexing • Develop automation for importing and updating data from the data source • Validation processes •
INDSPCI",4.1,Spectrum Communications & Consulting Inc.,"Chicago, IL",-1,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,51 to 200 Employees,-1
Clinical Laboratory Scientist and Lab Manager,$72K - $133K (Glassdoor est.),"About us
The Sperm Bank of California is a non-profit organization dedicated to providing ethical family building options to our diverse community. We have an unwavering commitment to the well-being of parents, children, and donors.
The Sperm Bank of California provides services to individuals and couples creating or expanding their families through donor insemination and sperm storage. TSBC has been making the dream of family a reality since 1982 when we established as the first sperm bank in the US to serve all women including lesbians and single women. Rooted in this history and always looking forward, TSBC welcomes recipients, partners, clients, and employees of all sexual orientations, gender expressions, and relationship statuses.
Great opportunity for a CA licensed clinical laboratory scientist (CLS) interested in growing their career in the field of reproductive medicine.",-1,The Sperm Bank of California,"Berkeley, CA",-1,-1,-1,-1,-1,-1,-1,-1
Data Analyst/Tableau Developer,$72K - $133K (Glassdoor est.),"Responsibilities:
· Use data to understand business patterns and trends
· Structure analysis to provide conclusive insights that directly align to decision-making.
· Prioritize and balance multiple activities and proactively communicate status to manage stakeholder expectations.
· Translate client needs and requirements into specific data, logic and reporting requirements and work plans.
· Understand data sources and logic to ensure accurate, efficient and timely deliverables.",-1,MBS Professional Staffing,"Blue Ash, OH",-1,-1,-1,-1,-1,-1,-1,-1
Staff Data Scientist,$72K - $133K (Glassdoor est.),"Our Opportunity:
Chewy Customer Experience Analytics group is looking for a Staff Data Scientist to play a key role in building their industry leading Customer Service Analytics Platform. Are you passionate about solving highly scalable, enterprise level analytics problems. Do you enjoy building end to end high impact analytics solutions to help drive business decisions and improve customer experience? And if you have experience in NLP, sentiment analysis, speech to text analytics, maintaining and building forecasting/ML models then we need you!!!
What you'll do:
Predict, simulate, and optimize customer/associate experience.
Deep dive customer and agents interactions to explain change, find hidden opportunities, and provide recommendations.",3.3,Chewy,"Boston, MA",-1,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,-1
Quality Control Scientist Level 1,$72K - $133K (Glassdoor est.),"Quality Control Scientist Level 1
Status: Exempt
Type: Full-Time
Reports to: Quality Control Manager
Summary
The individual will be responsible for general laboratory duties focused on testing manufactured products and internal reagents for release. The Quality Control Scientist Level 1will work under the direction of the Quality Control Manager and Quality Control Lead Scientist and is expected to follow standard operating procedures, test methods and other appropriate documentation. The Quality Control Scientist Level 1will be responsible for performing various Quality Control procedures and will maintain thorough records of the testing data for the products by recording the relevant information in the appropriate records. Quality Control Scientists may be required to assist in Technology Transfer Verification and Validations of Assays as determined by the Tech Transfer Department.",-1,Empirical Bioscience Inc.,"KenTownshipood, MI",-1,-1,-1,-1,-1,-1,-1,-1
"MEDICAL LAB SCIENTIST, ADVANCED, Flow Cytometry (3:00pm-11:30pm Mon.-Fri.)",$72K - $133K (Glassdoor est.),"General Description
Perform a variety of routine and complex technical tasks in the performance of laboratory tests to obtain data for use in the diagnosis and treatment of disease. Job duties are dependent on the laboratory and may be composed of a combination of the following duties and responsibilities related to the specialization. Tasks are performed according to written procedures and policies with careful monitoring of quality control and quality assurance practices.

Job Duties
Perform a variety of tests in clinical laboratories using standard techniques and equipment; perform related duties in the laboratory to include specimen handling, using manual and automatic equipment to test specimens, and perform and report analytical tests.
Operate manual or computerized instrumentation. Calibrate and maintain instrumentation according to standard operating procedures.
Process patient samples for testing using appropriate identification techniques and written procedures to ensure quality material for testing.
Perform basic troubleshooting of assay problems as directed by senior staff. Communicate problems/issues to appropriate individuals.
Maintain inventory of supplies and equipment.
Participate in the development of new medical laboratory tests and techniques.
Participate in the preparation for lab inspections. Review lab inspection documents and procedures to maintain knowledge. Bring any non-compliance issues to the attention of upper level staff.
Perform proficiency testing as directed to maintain compliance with regulatory agencies.
Document quality control and quality assurance results. Notify upper level personnel of instrument malfunctions or unusual or unexpected data or results.
Review written procedures and policies for accuracy and submit changes to manager or designee.
Understand, comply, and perform with all necessary safety procedures. Maintain compliance with safety training. Report all safety incidents within 24 hours.
Attend all laboratory meetings, safety and compliance training as required.
Comply with competency testing procedures for the laboratory staff.
Train new staff. Serve as a resource person/role model, as per guidelines determined by laboratory management. Comply with laboratory training programs.
Provide technical guidance and instruction to students, interns, residents, staff, and other employees.
Perform other related duties incidental to the work described herein.
Use behaviors that support the achievement of balanced scorecard targets and support DUHS values.
Consistently cooperate and communicate effectively with co-workers to ensure effective workflow.

Education
Bachelors of Science/Bachelor of Arts in Chemical, Physical, Biological or Clinical Laboratory Science; or Medical Technology. Generalist certification is required for General labs. Generalist/Specialty certification required for specialty labs.

Experience
Two years experience as a certified MLS.

Degrees, Licensures, Certifications
Generalist/Specialty Certification by a nationally recognized board/agency (required). Certification will vary depending on the laboratory. Advanced degree (MS or higher) accepted in lieu of certification.

Duke is an Affirmative Action/Equal Opportunity Employer committed to providing employment opportunity without regard to an individual's age, color, disability, gender, gender expression, gender identity, genetic information, national origin, race, religion, sex, sexual orientation, or veteran status.

Duke aspires to create a community built on collaboration, innovation, creativity, and belonging. Our collective success depends on the robust exchange of ideas—an exchange that is best when the rich diversity of our perspectives, backgrounds, and experiences flourishes. To achieve this exchange, it is essential that all members of the community feel secure and welcome, that the contributions of all individuals are respected, and that all voices are heard. All members of our community have a responsibility to uphold these values.

Certain jobs at Duke University and Duke University Health System may include essentialjob functions that require specific physical and/or mental abilities. Additional information and provision for requests for reasonable accommodation will be provided by each hiring department.",4.3,Duke Careers,"Durham, NC",-1,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,-1
Machine Learning Engineer (Experienced),$72K - $133K (Glassdoor est.),"Posting Duration

This posting will be open for application submissions for a minimum of seven (7) calendar days, including the ‘posting date’. Sandia reserves the right to extend the posting date at any time.
What Your Job Will Be Like

Are you passionate about providing support to end-users and using quality principles in the development of solutions? Are you open to learning new toolsets in order to grow the impact you have on the organization? If so, you will want to consider applying for this opportunity.",-1,Sandia National Laboratories,"Albuquerque, NM",-1,-1,-1,-1,-1,-1,-1,-1
"Scientist II/III, Strain Engineering",$72K - $133K (Glassdoor est.),"Who we are:
Antheia is a science and technology company developing next generation plant-inspired medicines. Applying synthetic biology, genomics, informatics, and fermentation, we harness the most beneficial molecules from plants to create active pharmaceutical ingredients in more controlled and economical ways. We are a close-knit team inspired by the possibilities of delivering transformative technologies and breakthrough science to change the course of medicine. We value our people as our most important resource and are always looking for talented individuals who can make valuable contributions to our efforts.
Job Description:
Antheia is looking for a highly motivated scientist to join a team working to engineer yeast strains for the production of valuable plant natural products. The ideal candidate will have a strong background in DNA assembly and genetic engineering techniques as well as microbial metabolism and physiology. The ability to communicate well, and to interact with others in a small, dynamic and fast-paced environment, is essential.",-1,Antheia,"Menlo Park, CA",-1,-1,-1,-1,-1,-1,-1,-1
3M HIS Sr. Computational Linguist / Sr. Machine Learning Scientist,$72K - $133K (Glassdoor est.),"Job Description:
3M HIS Sr. Computational Linguist / Sr. Machine Learning Scientist
Collaborate with Innovative 3Mers Around the World
3M is seeking a Computational Linguist with strong Machine Learning knowledge for M*Modal in the Health Information Systems Division.
Are you a creative and thoughtful researcher? Do you want to apply your skills in a way that has a meaningful impact on the world? You might just be the person we are looking for! Join our team of international researchers and engineers in Pittsburgh PA (or virtual) to help improve patient care and clinical workflows by advancing our conversational assistant technology.


Learn more about 3M’s creative solutions to the world’s problems at www.3M.com or on Twitter @3M.
Responsibilities of this position include that corporate policies, procedures and security standards are complied with while performing assigned duties.
Pay & Benefits Overview: https://www.3m.com/3M/en_US/careers-us/working-at-3m/benefits/
3M is an equal opportunity employer. 3M will not discriminate against any applicant for employment on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status.",3.9,3M,"Pittsburgh, PA",-1,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,10000+ Employees,-1
Data Analyst,$72K - $133K (Glassdoor est.),"Datalot is building some of the most innovative advertising technology for the insurance industry. We are in an exciting time of growth, and looking for a Data Analyst to join our Dumbo, Brooklyn (NY) team to play a key part in empowering smart, data-driven decisions throughout the company with a focus on maximizing long term value. This role is interdisciplinary and sits at the intersection between tech, marketing, sales, accounting, and operations.
If you are excited to work for a fast-growing industry leader with career growth opportunities, join us!

Given the current state of the COVID-19, this role will start off as a work-from-home position and then transition to work in-office.",3.4,Datalot,"Brooklyn, NY",-1,201 to 500 Employees,201 to 500 Employees,201 to 500 Employees,201 to 500 Employees,201 to 500 Employees,201 to 500 Employees,-1
